name,Fungi_3,Fungi_4,Fungi_5,BSP_3,BSP_4,BSP_5
IKMn,.77 / .40 / .17,.64 / .43 / .10,.54 / .38 / .07,1.00 / .56 / .23,.73 / .55 / .13,.58 / .43 / .09
IKMc,.85 / .39 / .26,.78 / .49 / .16,.59 / .40 / .10,1.00 / .44 / .20,.72 / .43 / .17,.63 / .35 / .13
IKMo,.85 / .42 / .25,.78 / .46 / .16,.59 / .40 / .08,1.00 / .49 / .25,.76 / .45 / .18,.68 / .32 / .14
IKMcs,.90 / .40 / .24,.76 / .33 / .15,.58 / .37 / .09,1.00 / .48 / .20,.74 / .44 / .15,.67 / .33 / .12
IKMos,.86 / .40 / .21,.82 / .42 / .14,.56 / .38 / .09,1.00 / .46 / .22,.73 / .45 / .15,.67 / .34 / .11
KMn,.81 / .54 / .13,.64 / .51 / .10,.55 / .41 / .07,1.00 / .57 / .22,.69 / .57 / .12,.61 / .44 / .08
KMc,.85 / .40 / .29,.78 / .45 / .15,.62 / .40 / .09,1.00 / .45 / .21,.72 / .48 / .17,.68 / .36 / .13
KMcs,.86 / .15 / .14,.78 / .43 / .14,.59 / .36 / .09,1.00 / .32 / .29,.72 / .33 / .24,.71 / .05 / .14
