name,Fungi_3,Fungi_4,Fungi_5,BSP_3,BSP_4,BSP_5
BIKMn,1.0 | 1.0,1.0 | 1.0,1.0 | 1.0,1.0 | 1.0,1.0 | 1.0,1.0 | 1.0
BIKMc,1.1 | 1.1,1.1 | 2.5,1.2 | 2.2,1.7 | 1.8,2.2 | 1.4,1.1 | 1.8
BIKMo,1.0 | 1.0,1.0 | 2.6,2.5 | 2.8,1.4 | 1.0,2.5 | 2.1,1.0 | 1.1
BIKMcs,1.5 | 2.2,2.6 | 2.1,1.7 | 2.1,1.5 | 1.9,1.9 | 1.3,1.2 | 2.2
BIKMos,2.1 | 1.0,1.0 | 1.1,1.9 | 1.0,1.8 | 2.4,1.0 | 2.4,1.7 | 1.0
BKMn,1.0 | 1.0,1.0 | 1.0,1.0 | 1.0,1.0 | 1.0,1.0 | 1.0,1.0 | 1.0
BKMc,1.2 | 1.9,1.1 | 2.4,1.3 | 2.7,1.1 | 1.1,1.9 | 2.3,1.3 | 2.7
BKMcs,1.5 | 2.4,2.6 | 2.8,1.7 | 2.7,1.5 | 1.7,1.1 | 2.4,1.1 | 2.4
