,GRANDE-AREA-PREDOMINANTE,AREA-PREDOMINANTE,index,MIN(P.MED_TOT_BIBL_PERIODICO_NAC),MAX(P.MED_TOT_BIBL_PERIODICO_NAC),MIN(P.MED_TOT_BIBL_PERIODICO_INT),MAX(P.MED_TOT_BIBL_PERIODICO_INT),MIN(P.MED_TOT_BIBL_TRABALHO),MAX(P.MED_TOT_BIBL_TRABALHO),MIN(P.MED_TOT_BIBL_LIVRO),MAX(P.MED_TOT_BIBL_LIVRO),MIN(P.MED_TOT_BIBL_CAPITULO_LIVRO),MAX(P.MED_TOT_BIBL_CAPITULO_LIVRO),MIN(P.MED_TOT_BIBL_OUTROS),MAX(P.MED_TOT_BIBL_OUTROS),MIN(P.MED_TOT_BIBL_RESUMO_REVISTA),MAX(P.MED_TOT_BIBL_RESUMO_REVISTA),MIN(P.MED_TOT_BIBL_RESUMO_ANAIS),MAX(P.MED_TOT_BIBL_RESUMO_ANAIS),MIN(P.MED_TOT_BIBL),MAX(P.MED_TOT_BIBL),MIN(P.MED_TOT_ORIE_DOUTORADO_CONC),MAX(P.MED_TOT_ORIE_DOUTORADO_CONC),MIN(P.MED_TOT_ORIE_MESTRADO_CONC),MAX(P.MED_TOT_ORIE_MESTRADO_CONC),MIN(P.MED_TOT_ORIE_ESPECIALIZACAO_CONC),MAX(P.MED_TOT_ORIE_ESPECIALIZACAO_CONC),MIN(P.MED_TOT_ORIE_GRADUACAO_CONC),MAX(P.MED_TOT_ORIE_GRADUACAO_CONC),MIN(P.MED_TOT_ORIE_INICIACAO_CONC),MAX(P.MED_TOT_ORIE_INICIACAO_CONC),MIN(P.MED_TOT_ORIE_DOUTORADO_NCONC),MAX(P.MED_TOT_ORIE_DOUTORADO_NCONC),MIN(P.MED_TOT_ORIE_MESTRADO_NCONC),MAX(P.MED_TOT_ORIE_MESTRADO_NCONC),MIN(P.MED_TOT_ORIE_ESPECIALIZACAO_NCONC),MAX(P.MED_TOT_ORIE_ESPECIALIZACAO_NCONC),MIN(P.MED_TOT_ORIE_GRADUACAO_NCONC),MAX(P.MED_TOT_ORIE_GRADUACAO_NCONC),MIN(P.MED_TOT_ORIE_INICIACAO_NCONC),MAX(P.MED_TOT_ORIE_INICIACAO_NCONC),MIN(P.MED_TOT_ORIE_CONC),MAX(P.MED_TOT_ORIE_CONC),MIN(P.MED_TOT_ORIE_NCONC),MAX(P.MED_TOT_ORIE_NCONC),MIN(P.MED_TOT_DEMAIS),MAX(P.MED_TOT_DEMAIS),MIN(P.MED_TOT_OUTRAS),MAX(P.MED_TOT_OUTRAS),MIN(P.MED_TOT_TECN_SOFTWARE_REG),MAX(P.MED_TOT_TECN_SOFTWARE_REG),MIN(P.MED_TOT_TECN_SOFTWARE_NREG),MAX(P.MED_TOT_TECN_SOFTWARE_NREG),MIN(P.MED_TOT_TECN_PRODUTO_NREG),MAX(P.MED_TOT_TECN_PRODUTO_NREG),MIN(P.MED_TOT_TECN_TECNICA_REG),MAX(P.MED_TOT_TECN_TECNICA_REG),MIN(P.MED_TOT_TECN_TECNICA_NREG),MAX(P.MED_TOT_TECN_TECNICA_NREG),MIN(P.MED_TOT_TECN_TRABALHO),MAX(P.MED_TOT_TECN_TRABALHO),MIN(P.MED_TOT_TECN_APRESENTACAO),MAX(P.MED_TOT_TECN_APRESENTACAO),MIN(P.MED_TOT_TECN_OUTROS),MAX(P.MED_TOT_TECN_OUTROS),MIN(P.MED_TOT_TECN),MAX(P.MED_TOT_TECN),MIN(P.MED_TOT_ARTISTICA),MAX(P.MED_TOT_ARTISTICA)
20,Ciências Exatas e da Terra,Astronomia,2839.0,0.0,0.5,0.0,3.25,0.0,1.625,0.0,0.25,0.0,0.25,0.0,2.0,0.0,0.0,0.0,6.25,1.0,12.375,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.625,0.0,0.75,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.25,0.0,1.0,0.0,6.625,0.0,6.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,1.5,0.0,2.0,0.0,3.75,0.0,0.0
21,Ciências Exatas e da Terra,Ciência da Computação,2463.0,0.0,1.0,0.0,0.75,0.0,5.0,0.0,0.0,0.0,0.5,0.0,1.5,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.6667,0.0,1.0,0.0,4.0,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.75,0.0,6.125,0.0,1.5,0.0,13.5,0.0,13.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,1.5,0.0,2.5,0.0,6.25,0.0,0.0
22,Ciências Exatas e da Terra,Física,2359.0,0.0,1.0,0.0,5.0,0.0,3.25,0.0,0.25,0.0,0.3333,0.0,2.25,0.0,0.0,0.0,6.75,0.41664999999999996,14.875,0.0,0.5,0.0,1.0,0.0,0.3333,0.0,1.5,0.0,1.75,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,3.75,0.0,1.75,0.0,9.25,0.0,9.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.375,0.0,2.0,0.0,4.375,0.0,0.0
23,Ciências Exatas e da Terra,Geociências,2526.5,0.0,2.375,0.0,1.75,0.0,4.875,0.0,0.3333,0.0,1.25,0.0,3.75,0.0,0.0,0.0,4.75,0.0,15.25,0.0,0.41664999999999996,0.0,1.5,0.0,1.0,0.0,3.125,0.0,2.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.875,0.0,6.5,0.0,2.0,0.0,15.5,0.0,15.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125,0.0,2.625,0.0,3.5,0.0,7.75,0.0,0.125
24,Ciências Exatas e da Terra,Matemática,3224.5,0.0,0.5,0.0,1.75,0.0,2.625,0.0,0.25,0.0,0.25,0.0,1.5,0.0,0.0,0.0,2.0,0.0,7.875,0.0,0.0,0.0,0.875,0.0,0.5,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4.0,0.0,1.5,0.25,10.5,0.25,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,0.0,2.625,0.0,5.25,0.0,0.0
25,Ciências Exatas e da Terra,Oceanografia,2852.5,0.0,1.75,0.0,3.125,0.0,3.0,0.0,0.25,0.0,1.75,0.0,5.375,0.0,0.0,0.0,7.25,0.5,17.875,0.0,0.625,0.0,1.5,0.0,0.5,0.0,2.625,0.0,2.0,0.0,0.5,0.0,0.875,0.0,0.25,0.0,0.5,0.0,1.0,0.0,5.875,0.0,2.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,2.75,0.0,3.0,0.0,7.0,0.0,0.25
26,Ciências Exatas e da Terra,Probabilidade e Estatística,2849.0,0.0,2.25,0.0,1.5,0.0,2.75,0.0,0.25,0.0,0.3333,0.0,2.75,0.0,0.0,0.0,5.5,0.5,14.25,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.5,0.0,1.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4.0,0.0,1.0,0.25,11.0,0.25,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.25,0.0,1.75,0.0,5.25,0.0,0.0
27,Ciências Exatas e da Terra,Química,2364.0,0.0,2.375,0.0,3.875,0.0,3.25,0.0,0.25,0.0,0.5,0.0,3.875,0.0,0.0,0.0,11.25,0.41664999999999996,19.875,0.0,0.25,0.0,1.25,0.0,0.5,0.0,3.0,0.0,2.75,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.25,0.0,1.25,0.0,6.0,0.0,2.25,0.125,15.5,0.125,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,1.625,0.0,2.75,0.0,2.5,0.0,6.875,0.0,0.0
28,Ciências Humanas,Antropologia,2725.0,0.0,1.5,0.0,0.25,0.0,2.25,0.0,0.3333,0.0,1.75,0.0,2.75,0.0,0.0,0.0,2.5,0.0,9.75,0.0,0.0,0.0,1.25,0.0,1.25,0.0,3.5,0.0,1.5,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.75,0.0,6.0,0.0,1.75,0.5,16.0,0.75,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,4.25,0.0,4.0,0.0,10.0,0.0,1.0
29,Ciências Humanas,Arqueologia,3052.0,0.0,1.5,0.0,0.5,0.0,2.25,0.0,0.25,0.0,0.75,0.0,2.0,0.0,0.0,0.0,4.0,0.25,9.25,0.0,0.25,0.0,0.75,0.0,0.0,0.0,1.75,0.0,1.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.5,0.0,4.25,0.0,1.75,0.75,15.5,0.75,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1.5,0.0,3.5,0.0,8.0,0.0,0.5
30,Ciências Humanas,Ciência Política,2882.0,0.0,1.875,0.0,0.5,0.0,2.75,0.0,0.41664999999999996,0.0,1.75,0.0,4.25,0.0,0.0,0.0,1.375,0.58335,9.5,0.0,0.0,0.0,1.375,0.0,1.5,0.0,3.75,0.0,1.625,0.0,0.125,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.625,0.0,7.0,0.0,2.0,1.125,17.875,1.125,17.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125,0.0,3.5,0.0,4.125,0.0,9.125,0.0,0.25
31,Ciências Humanas,Educação,3306.0,0.0,2.5,0.0,0.5,0.0,5.5,0.0,0.75,0.0,2.0,0.0,4.5,0.0,0.0,0.0,5.25,0.0,16.75,0.0,0.0,0.0,1.75,0.0,4.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,1.25,0.0,0.5,0.0,1.0,0.0,0.75,0.0,10.0,0.0,2.0,0.0,23.75,0.0,23.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.5,0.0,7.0,0.0,16.25,0.0,0.5
32,Ciências Humanas,Filosofia,2804.0,0.0,2.25,0.0,0.25,0.0,1.5,0.0,0.5,0.0,2.0,0.0,4.25,0.0,0.0,0.0,2.75,0.25,11.25,0.0,0.0,0.0,1.25,0.0,1.25,0.0,3.75,0.0,1.5,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.75,0.0,6.0,0.0,2.0,0.3333,16.75,0.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,5.25,0.0,4.5,0.0,10.75,0.0,0.5
33,Ciências Humanas,Geografia,2885.0,0.0,2.0,0.0,0.25,0.0,4.5,0.0,0.25,0.0,1.0,0.0,2.75,0.0,0.0,0.0,3.5,0.3333,13.5,0.0,0.0,0.0,1.0,0.0,1.625,0.0,4.0,0.0,1.75,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.5,0.0,0.75,0.0,7.125,0.0,2.125,1.0,17.125,1.125,17.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,4.5,0.0,4.375,0.0,8.75,0.0,0.5
34,Ciências Humanas,História,3307.0,0.0,2.5,0.0,0.25,0.0,2.75,0.0,0.5,0.0,1.5,0.0,4.0,0.0,0.0,0.0,3.75,0.25,12.25,0.0,0.0,0.0,1.25,0.0,1.75,0.0,4.75,0.0,1.75,0.0,0.25,0.0,0.75,0.0,0.25,0.0,0.75,0.0,0.75,0.0,7.25,0.0,2.0,1.0,19.5,1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.25,0.0,5.0,0.0,11.25,0.0,1.0
35,Ciências Humanas,Psicologia,3551.0,0.0,2.5,0.0,0.5,0.0,2.625,0.0,0.25,0.0,1.75,0.0,3.75,0.0,0.0,0.0,9.25,0.25,17.625,0.0,0.0,0.0,1.375,0.0,2.5,0.0,4.875,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.58335,0.0,0.75,0.0,8.125,0.0,2.0,0.6667,21.625,0.6667,21.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.375,0.0,6.75,0.0,4.875,0.0,13.5,0.0,0.25
36,Ciências Humanas,Sociologia,2808.0,0.0,2.25,0.0,0.3333,0.0,2.75,0.0,0.5,0.0,1.5,0.0,3.5,0.0,0.0,0.0,3.25,0.25,12.75,0.0,0.0,0.0,1.25,0.0,1.5,0.0,4.0,0.0,1.75,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.6667,0.0,0.75,0.0,6.25,0.0,2.0,0.5,19.75,0.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,4.5,0.0,5.0,0.0,11.5,0.0,0.3333
37,Ciências Humanas,Teologia,1159.5,0.0,4.375,0.0,0.375,0.0,1.875,0.0,0.875,0.0,3.5,0.0,6.125,0.0,0.0,0.0,1.875,0.125,13.75,0.0,0.0,0.0,1.5,0.0,2.125,0.0,4.125,0.0,0.875,0.0,0.125,0.0,1.125,0.0,0.0,0.0,0.29164999999999996,0.0,0.5,0.0,7.75,0.0,1.75,0.375,19.0,0.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375,0.0,6.25,0.0,4.0,0.0,12.125,0.0,0.625
38,Ciências Sociais Aplicadas,Administração,3207.0,0.0,2.0,0.0,0.25,0.0,6.25,0.0,0.5,0.0,1.0,0.0,2.5,0.0,0.0,0.0,2.0,0.25,13.25,0.0,0.0,0.0,1.5,0.0,2.75,0.0,7.0,0.0,1.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.5,0.0,10.75,0.0,2.0,0.5,19.75,0.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.25,0.0,4.0,0.0,10.0,0.0,0.0
39,Ciências Sociais Aplicadas,Arquitetura e Urbanismo,3012.0,0.0,1.25,0.0,0.25,0.0,4.0,0.0,0.5,0.0,1.0,0.0,2.5,0.0,0.0,0.0,2.25,0.0,10.5,0.0,0.0,0.0,0.75,0.0,0.5,0.0,4.5,0.0,2.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.75,0.0,6.5,0.0,2.0,0.3333,18.0,0.3333,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,3.25,0.0,3.75,0.0,8.75,0.0,0.75
40,Ciências Sociais Aplicadas,Ciência da Informação,1986.5,0.0,2.125,0.0,0.25,0.0,3.75,0.0,0.25,0.0,0.875,0.0,2.25,0.0,0.0,0.0,1.875,0.0,11.125,0.0,0.125,0.0,1.125,0.0,2.125,0.0,4.0,0.0,1.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.58335,0.0,6.375,0.0,2.0,0.25,19.25,0.29164999999999996,19.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.75,0.0,4.75,0.0,8.125,0.0,0.0
41,Ciências Sociais Aplicadas,Comunicação,3179.0,0.0,2.125,0.0,0.25,0.0,3.25,0.0,0.5,0.0,1.5,0.0,3.75,0.0,0.0,0.0,2.0,0.0,11.75,0.0,0.0,0.0,0.5,0.0,1.75,0.0,6.125,0.0,1.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,8.25,0.0,1.75,0.5,20.5,0.70835,20.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,4.375,0.0,4.625,0.0,10.375,0.0,1.0
42,Ciências Sociais Aplicadas,Demografia,2963.5,0.0,3.125,0.0,0.375,0.0,3.125,0.0,0.5,0.0,1.5,0.0,1.875,0.0,0.0,0.0,2.625,1.0,9.875,0.0,0.125,0.0,0.75,0.0,0.125,0.0,1.875,0.0,1.0,0.0,0.25,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.5,0.125,4.375,0.0,1.625,0.75,16.625,0.75,16.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.375,0.0,3.375,0.0,3.25,0.375,8.375,0.0,0.0
43,Ciências Sociais Aplicadas,Desenho Industrial,2313.5,0.0,1.125,0.0,0.25,0.0,4.75,0.0,0.25,0.0,0.58335,0.0,2.125,0.0,0.0,0.0,1.375,0.25,9.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,4.625,0.0,1.25,0.0,0.0,0.0,0.70835,0.0,0.0,0.0,0.5,0.0,0.75,0.0,8.875,0.0,2.0,0.5,19.75,0.58335,20.625,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.75,0.0,2.625,0.0,3.5,0.0,10.875,0.0,1.75
44,Ciências Sociais Aplicadas,Direito,3335.0,0.0,3.25,0.0,0.25,0.0,1.5,0.0,0.75,0.0,2.25,0.0,3.5,0.0,0.0,0.0,1.125,0.0,11.75,0.0,0.0,0.0,2.0,0.0,1.75,0.0,8.75,0.0,1.25,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.75,0.0,0.5,0.0,12.125,0.0,2.25,0.5,27.25,0.58335,27.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.625,0.0,4.75,0.0,9.125,0.0,0.25
45,Ciências Sociais Aplicadas,Economia,2866.0,0.0,2.5,0.0,0.3333,0.0,4.5,0.0,0.5,0.0,1.25,0.0,3.5,0.0,0.0,0.0,2.25,0.0,12.5,0.0,0.0,0.0,1.5,0.0,1.25,0.0,5.0,0.0,1.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.5,0.0,6.75,0.0,1.75,0.0,18.5,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,0.0,3.25,0.0,7.5,0.0,0.0
46,Ciências Sociais Aplicadas,Economia Doméstica,3310.0,0.0,1.5,0.0,0.25,0.0,4.25,0.0,0.5,0.0,1.0,0.0,7.75,0.0,0.0,0.0,1.75,1.0,14.0,0.0,0.0,0.0,2.25,0.0,0.75,0.0,3.75,0.0,2.0,0.0,0.75,0.0,0.5,0.0,0.0,0.0,0.75,0.0,1.0,0.0,7.5,0.0,3.5,0.0,23.5,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,5.5,0.0,11.5,0.0,18.5,0.0,1.0
47,Ciências Sociais Aplicadas,Museologia,1798.0,0.0,1.875,0.0,0.25,0.0,3.625,0.0,0.54165,0.0,1.375,0.0,2.625,0.0,0.0,0.0,1.625,0.625,11.0,0.0,0.0,0.0,1.125,0.0,1.375,0.0,1.25,0.0,1.25,0.0,0.125,0.0,0.375,0.0,0.0,0.0,0.125,0.0,0.625,0.0,4.875,0.0,1.5,1.5,20.75,1.5,18.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.375,0.0,4.875,0.0,6.25,0.375,13.875,0.0,0.25
48,Ciências Sociais Aplicadas,Planejamento Urbano e Regional,2524.0,0.0,1.75,0.0,0.25,0.0,3.5,0.0,0.5,0.0,1.25,0.0,2.25,0.0,0.0,0.0,2.0,0.25,10.5,0.0,0.0,0.0,1.75,0.0,1.5,0.0,3.75,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.6667,0.0,6.5,0.0,2.0,0.5,17.75,0.5,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,3.25,0.0,3.75,0.0,7.5,0.0,0.0
49,Ciências Sociais Aplicadas,Serviço Social,3114.5,0.0,1.875,0.0,0.25,0.0,3.5,0.0,0.5,0.0,1.0,0.0,3.25,0.0,0.0,0.0,3.25,0.0,11.375,0.0,0.0,0.0,1.0,0.0,2.125,0.0,5.125,0.0,2.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.75,0.0,0.75,0.0,8.0,0.0,2.25,0.58335,22.0,0.6667,22.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.375,0.0,5.5,0.0,5.0,0.0,13.0,0.0,0.25
50,Ciências Sociais Aplicadas,Turismo,2790.0,0.0,1.5,0.0,0.25,0.0,2.875,0.0,0.25,0.0,0.75,0.0,1.75,0.0,0.0,0.0,1.75,0.41664999999999996,9.625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.875,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.29164999999999996,0.0,0.5,0.0,6.0,0.0,1.25,1.75,16.0,1.75,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125,0.0,2.125,0.0,3.0,0.29164999999999996,6.375,0.0,0.25
51,Ciências da Saúde,Educação Física,3243.0,0.0,2.75,0.0,0.75,0.0,2.75,0.0,0.25,0.0,1.25,0.0,2.75,0.0,0.25,0.0,8.75,0.25,15.75,0.0,0.0,0.0,0.25,0.0,1.75,0.0,5.5,0.0,1.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.6667,0.0,0.5,0.0,7.75,0.0,1.75,0.75,17.75,0.75,17.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,4.75,0.0,4.5,0.0,9.25,0.0,0.25
52,Ciências da Saúde,Enfermagem,3124.0,0.0,3.0,0.0,0.5,0.0,1.5,0.0,0.25,0.0,1.0,0.0,4.0,0.0,0.25,0.0,9.5,0.0,16.0,0.0,0.0,0.0,0.5,0.0,3.0,0.0,4.5,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.75,0.0,0.75,0.0,7.75,0.0,1.75,1.0,22.75,1.0,22.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.25,0.0,4.5,0.0,12.0,0.0,0.25
53,Ciências da Saúde,Farmácia,3537.0,0.0,2.5,0.0,3.125,0.0,1.25,0.0,0.25,0.0,0.5,0.0,2.5,0.0,0.25,0.0,11.0,0.25,17.875,0.0,0.0,0.0,0.75,0.0,1.25,0.0,3.75,0.0,2.5,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.5,0.0,1.25,0.0,6.5,0.0,2.25,0.41664999999999996,16.375,0.41664999999999996,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125,0.0,3.875,0.0,3.5,0.0,8.75,0.0,0.0
54,Ciências da Saúde,Fisioterapia e Terapia Ocupacional,3962.5,0.0,1.75,0.0,0.75,0.0,1.5,0.0,0.0,0.0,0.5,0.0,1.5,0.0,0.125,0.0,7.75,0.25,11.5,0.0,0.0,0.0,0.0,0.0,1.25,0.0,4.0,0.0,1.625,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.5,0.0,6.625,0.0,1.5,1.125,14.25,1.125,14.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,4.875,0.0,2.75,0.0,9.125,0.0,0.0
55,Ciências da Saúde,Fonoaudiologia,4007.5,0.0,2.625,0.0,0.29164999999999996,0.0,1.375,0.0,0.125,0.0,0.75,0.0,2.75,0.0,0.125,0.0,9.875,0.625,15.25,0.0,0.0,0.0,0.0,0.0,1.875,0.0,2.25,0.0,2.0,0.0,0.0,0.0,0.375,0.0,0.25,0.0,0.41664999999999996,0.0,0.5,0.0,5.625,0.0,1.375,1.875,20.25,2.25,20.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375,0.0,6.375,0.0,4.125,0.0,12.5,0.0,0.25
56,Ciências da Saúde,Medicina,2382.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,0.3333,0.0,1.75,0.0,3.0,0.0,1.0,0.0,13.25,0.25,24.25,0.0,0.25,0.0,1.5,0.0,1.5,0.0,2.25,0.0,2.25,0.0,0.75,0.0,1.0,0.0,0.25,0.0,0.25,0.0,1.0,0.0,6.5,0.0,2.25,0.0,22.75,0.0,22.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,8.0,0.0,4.25,0.0,12.75,0.0,0.0
57,Ciências da Saúde,Nutrição,3187.0,0.0,2.75,0.0,1.75,0.0,1.75,0.0,0.25,0.0,0.75,0.0,2.25,0.0,0.25,0.0,8.0,0.5,17.0,0.0,0.0,0.0,1.0,0.0,1.25,0.0,4.25,0.0,2.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.5,0.0,7.25,0.0,2.0,0.75,17.0,0.75,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,4.25,0.0,3.5,0.0,8.0,0.0,0.0
58,Ciências da Saúde,Odontologia,3699.5,0.0,4.375,0.0,3.375,0.0,1.875,0.0,0.25,0.0,0.75,0.0,2.25,0.0,1.0,0.0,12.625,0.5,22.25,0.0,0.25,0.0,1.375,0.0,2.25,0.0,2.75,0.0,2.25,0.0,0.25,0.0,0.75,0.0,0.41664999999999996,0.0,0.5,0.0,0.75,0.0,6.375,0.0,1.75,0.5,21.125,0.5,21.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,6.875,0.0,6.875,0.0,13.125,0.0,0.25
59,Ciências da Saúde,Saúde Coletiva,2818.5,0.0,3.0,0.0,2.0,0.0,1.625,0.0,0.25,0.0,1.0,0.0,3.0,0.0,0.5,0.0,8.75,0.0,16.875,0.0,0.0,0.0,1.25,0.0,2.125,0.0,3.75,0.0,1.875,0.0,0.125,0.0,0.75,0.0,0.3333,0.0,0.5,0.0,0.75,0.0,7.0,0.0,1.75,0.25,19.625,0.29164999999999996,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,6.0,0.0,4.5,0.0,11.125,0.0,0.25
60,Engenharias,Engenharia Aeroespacial,1546.0,0.0,0.875,0.0,2.375,0.29164999999999996,7.25,0.0,0.125,0.0,0.25,0.0,1.875,0.0,0.0,0.0,3.375,0.45835,11.625,0.0,0.125,0.0,1.375,0.0,0.25,0.0,3.0,0.0,2.25,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.625,0.0,3.875,0.0,1.875,0.41664999999999996,10.625,0.41664999999999996,10.625,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.375,0.0,1.0,0.0,1.75,0.0,4.5,0.0,0.0
